pozo,Qi_hist,Qi_hyp,b,di_hyp,error_Qi_hyp,error_di_hyp,Qi_harm,di_harm,error_Qi_harm,error_di_harm,Qi_exp,di_exp,error_Qi_exp,error_di_exp,hidrocarburo_principal,ultima_produccion,mes_max,profundidad_total,trayectoria,first_oil,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,di_condensado,estado_actual,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica,Np,Gp,Cp,Wp,tipo
MIQUETLA-4,0.259708,0.25970799999999983,0.4416367225407458,0.025047798916051835,0.011605193519045808,0.07786450409972225,0.259707999177131,0.060979950683130855,0.012165106169597225,0.004252705321579289,0.2596445947265625,10.0,0.021540616886039858,0.0,0.00155395935203,2019-05-01,621.0,2100.0,VERTICAL,1968-05-01,0.11640437558289278,2.280596532575984e-14,0.006367424785377307,5e-45,0.5,10.0,INACTIVO,0.11878353301277325,0.03438151974550178,0.037927516774591996,0.41931102650827135,0.20178052538935773,0.21930351723548924,0.122207626771312,0.18367046501084733,0.0,0.017617583917349855,ALTA
MIQUETLA-13,0.239686,0.23535096444869624,0.9999999999999999,0.06934803514046163,0.016163553158937322,0.15218947156989668,0.2353507752802426,0.06934793589424502,0.01610612803780844,0.006748021110308706,0.23962748291015626,10.0,0.024408587556987625,0.0,0.00613412417953,2020-02-01,621.0,2075.5,VERTICAL,1969-02-01,0.0878017624917595,3.237068503628421e-08,0.004910538987792382,5e-45,0.5,10.0,INACTIVO,0.16086036956232538,0.07030681408734697,0.07030681408756745,0.5771564733032402,0.26023347114017825,0.27268163497454795,0.14247102092416,0.2395197476269458,0.0,0.015305712459319281,ALTA
MIQUETLA-8,0.16206700000000002,0.1620616742549818,0.9999999999999999,0.045916697371026334,0.006465862212358873,0.4604693680531414,0.16206174510475374,0.045916718646642755,0.00643090907801406,0.004252585048879366,0.16198786572265628,10.0,0.010705553760234044,0.0,0.0045444301143400005,2018-04-01,604.0,2220.1,VERTICAL,1968-09-01,0.04237091628428387,0.0009756574141749839,5.1193940257694263e-17,5e-45,0.5,10.0,INACTIVO,0.0106586259621333,0.003846279664237242,0.00384627966408637,1.5035239743537192,1.3329708863716188,1.3329708863716074,0.02857332665743039,0.12075714752593199,0.0,0.02949757453052551,MEDIA
MIQUETLA-36,0.266418,0.25415184477096664,0.9999999999983178,0.039185040736944156,0.02008779412148467,0.12757730478327936,0.25414732602050055,0.03918402315678703,0.019940411873433806,0.003989087861744938,0.26635295654296876,10.0,0.03202437167293861,0.0,0.00607384425237,2020-02-01,597.0,2001.0,VERTICAL,1971-02-01,0.072671765409983,0.99999999981593,0.0027185906738116275,5e-45,0.5,10.0,INACTIVO,0.39381518632186086,0.15473920331762392,0.1547392033000383,1.337145242158747,0.6861877434136165,0.6861877434397557,0.2827344589823911,0.46656670266165273,0.0,0.02033078326380356,ALTA
MIQUETLA-20,0.220353,0.22035299999999997,0.4866459209029226,0.024197153682768664,0.020443316601412714,0.12361249470529882,0.22035299999999997,0.04560446945937159,0.02078575062374335,0.0058134460076940805,0.22029920288085936,10.0,0.03214789182073374,0.0,0.000427004045079,2018-07-01,594.0,2130.0,VERTICAL,1969-09-01,0.054124287679012575,1.2596095275263508e-05,1.5732146043941274e-15,5e-45,0.5,10.0,INACTIVO,0.26560614576902314,0.10814122153236594,0.11235024172861152,2.8538500293396796,2.0951254463618167,2.09512544636196,0.16262750252963717,0.42054571537187985,0.0,0.01686530139365981,MEDIA
MIQUETLA-45,0.196032,0.19603199999988782,0.5697958502832964,0.020772861941668334,0.01873273580824724,0.13887199978896322,0.19603199999999998,0.03607792103198991,0.018881594935966927,0.004635486634954897,0.19593628125,10.0,0.029297966297289087,0.0,0.00994403027101,2020-02-01,587.0,2030.0,VERTICAL,1971-11-01,0.11331857782153665,0.3258807855557067,0.006604280202934525,5e-45,0.5,10.0,INACTIVO,0.2103008531434864,0.08589167773346948,0.08805972637859878,0.6460187891377029,0.3571952051215165,0.3626366968866845,0.15176663346591884,0.2307798221509137,0.0,0.01115477836112579,MEDIA
MIQUETLA-29,0.25747600000000004,0.24987739892861097,0.9999999999999994,0.0649790645330716,0.01659820061666336,0.1202628210105257,0.24987880665859308,0.0649796917945904,0.016521211458038868,0.006001874346581246,0.25741313964843754,10.0,0.02555462289704053,0.0,0.000385775404525,2018-07-01,584.0,2020.0,VERTICAL,1970-07-01,0.19410244985705388,0.8131850926992077,0.012633649426722697,5e-45,0.5,10.0,INACTIVO,0.2063602454455436,0.0868413593655325,0.08684135936070396,2.9154422254477046,2.1086070296214894,2.1104161931402357,0.19111691791961768,0.4250489873193121,0.0,0.021097179280667303,ALTA
MIQUETLA-30,0.268838,0.26356824237763393,0.9999999999999999,0.04866468675476658,0.012715489227703367,0.07908437866493691,0.26356780804177277,0.04866456911890364,0.012585559754988285,0.0030640216227318896,0.2687723657226563,10.0,0.03230226044225109,0.0,0.0006172403183730001,2018-03-01,579.0,2028.0,VERTICAL,1970-08-01,0.13298015286367765,3.8940976221047465e-08,0.005284255010365223,5e-45,0.5,10.0,INACTIVO,0.324508605230175,0.05020702280970219,0.050207022810157126,1.2954290813296456,0.4648880908812052,0.5009858079430527,0.2598834302422996,0.4220581569054866,0.0,0.013486336237596567,ALTA
MIQUETLA-62,0.112202,0.108374810081355,0.9999999999999999,0.07197028144061399,0.010633515857710397,0.2321343485791536,0.10837510530499656,0.0719707367584447,0.010594153004685112,0.0113689051175328,0.1121472138671875,10.0,0.012745827927732847,0.0,0.00373014493791,2020-02-01,571.0,2098.0,VERTICAL,1973-03-01,0.016463552439458042,0.9999999999999999,8.150905542133364e-16,5e-45,0.5,10.0,INACTIVO,0.03330350656049178,0.023073006507241034,0.02307300650654691,0.27721852609553865,0.22111147056969557,0.22111147056968708,0.06362510034380432,0.102238661394345,0.0,0.008300385842439894,MEDIA
MIQUETLA-51,0.177332,0.17564543896921905,0.9999999999999999,0.09839913908995009,0.012205899311583343,0.2390099906461541,0.17564543879822445,0.09839913877140949,0.012159317029183127,0.01249340394954201,0.177245412109375,10.0,0.016160583213701996,0.0,6.96195346093e-05,2018-07-01,562.0,2070.6,VERTICAL,1972-05-01,0.024768641303053278,6.1401405845296406e-09,0.0015534596995679462,5e-45,0.5,10.0,INACTIVO,0.038913503021241025,0.02205298547441128,0.02205298547441132,0.11549544601771874,0.07195435768971764,0.07221996774604221,0.05116815010101082,0.07415533953870448,0.0,0.0068358367182760425,MEDIA
