pozo,Qi_hist,ultima_produccion,ultima_fecha,mes_max,profundidad_total,trayectoria,first_oil,estado_actual,dias_perforacion,Np,Gp,Cp,Wp,tipo
MIQUETLA-29,0.25747600000000004,0.000385775404525,2018-07-01,584.0,2020.0,VERTICAL,1970-07-01,INACTIVO,26.0,0.19111691791961768,0.4250489873193121,0.0,0.021097179280667303,ALTA
MIQUETLA-30,0.268838,0.0006172403183730001,2018-03-01,579.0,2028.0,VERTICAL,1970-08-01,INACTIVO,25.0,0.2598834302422996,0.4220581569054866,0.0,0.013486336237596567,ALTA
MIQUETLA-31,0.25222100000000003,0.0201029960118,2020-02-01,602.0,2030.0,VERTICAL,1970-09-01,PRODUCTOR,22.0,0.12277187560918316,0.18733990790170957,0.0,0.012916464345321118,ALTA
MIQUETLA-32,0.320983,0.0172107678517,2020-02-01,601.0,2029.0,VERTICAL,1970-10-01,PRODUCTOR,25.0,0.11098952752039144,0.3109891861861589,0.0,0.015848320925207104,ALTA
MIQUETLA-33,0.27738,0.00283,2015-12-01,549.0,2066.5,VERTICAL,1970-11-01,INACTIVO,26.0,0.18925250999999998,0.32849465999999994,0.0,0.005960759999999998,ALTA
MIQUETLA-34,0.26782399999999995,0.002015,1998-04-01,333.0,2032.0,VERTICAL,1970-12-01,INACTIVO,20.0,0.008143859999999998,0.00027347999999999994,0.0,0.0017396700000000002,ALTA
MIQUETLA-35,0.292171,0.00920573083375,2020-02-01,598.0,2000.0,VERTICAL,1971-01-01,PRODUCTOR,38.0,0.4203736201075073,0.8102214512510791,0.0,0.027762752931302606,ALTA
MIQUETLA-36,0.266418,0.00607384425237,2020-02-01,597.0,2001.0,VERTICAL,1971-02-01,INACTIVO,32.0,0.2827344589823911,0.46656670266165273,0.0,0.02033078326380356,ALTA
MIQUETLA-37,0.266809,0.001217,1999-08-01,346.0,2030.0,VERTICAL,1971-03-01,INACTIVO,23.0,0.3204242400000002,0.6730037099999997,0.0,0.004132200000000002,ALTA
MIQUETLA-38,0.290589,0.005661,1999-03-01,340.0,2020.0,VERTICAL,1971-04-01,INACTIVO,19.0,0.1538194199999999,0.24484572000000004,0.0,0.00347505,ALTA
MIQUETLA-39,0.387533,0.0109665782067,2020-02-01,594.0,2045.0,VERTICAL,1971-05-01,PRODUCTOR,38.0,0.0765798750570537,0.0606432317252517,0.0,0.057956167636637086,ALTA
MIQUETLA-40,0.222659,0.000342936864339,2020-02-01,593.0,2060.0,VERTICAL,1971-06-01,PRODUCTOR,23.0,0.12948584456507983,0.18439126720925028,0.0,0.017536366431683558,MEDIA
MIQUETLA-41,0.203505,0.0310207644156,2020-02-01,592.0,2040.4,VERTICAL,1971-07-01,PRODUCTOR,28.0,0.2923580690642849,0.6234777101577242,0.0,0.015485220039657598,MEDIA
MIQUETLA-42,0.164549,0.013009322033,2020-02-01,591.0,2025.0,VERTICAL,1971-08-01,PRODUCTOR,21.0,0.0539868751751578,0.1036144554896565,0.0,0.01010193536450283,MEDIA
MIQUETLA-43,0.187017,0.0104541115754,2020-02-01,590.0,3117.0,VERTICAL,1971-09-01,PRODUCTOR,103.0,0.03664712166976512,0.04796749118327822,0.0,0.009481235542943998,MEDIA
MIQUETLA-44,0.145477,0.018763625466,2020-02-01,588.0,2035.0,VERTICAL,1971-10-01,PRODUCTOR,28.0,0.13138930352207845,0.2685216012622699,0.0,0.012603128698121698,MEDIA
MIQUETLA-45,0.196032,0.00994403027101,2020-02-01,587.0,2030.0,VERTICAL,1971-11-01,INACTIVO,20.0,0.15176663346591884,0.2307798221509137,0.0,0.01115477836112579,MEDIA
MIQUETLA-46,0.172056,0.012024,2015-10-01,534.0,2076.0,VERTICAL,1971-12-01,INACTIVO,36.0,0.11716248000000005,0.24526188000000018,0.0,0.013093740000000003,MEDIA
MIQUETLA-47,0.339446,0.00360449828172,2020-02-01,585.0,2062.0,VERTICAL,1972-01-01,PRODUCTOR,30.0,0.302813259764011,0.5199138318299324,0.0,0.01296458262298488,ALTA
MIQUETLA-48,0.272413,0.00046,2013-03-01,500.0,2042.0,VERTICAL,1972-02-01,INACTIVO,20.0,0.008186190000000001,6.654e-05,0.0,0.0032684100000000002,ALTA
MIQUETLA-49,0.231505,0.231505,1972-03-01,0.0,2060.0,VERTICAL,1972-03-01,INACTIVO,25.0,0.00694515,0.0,0.0,0.00276954,MEDIA
MIQUETLA-50,0.218675,0.007167920200810002,2020-01-01,581.0,2055.0,VERTICAL,1972-04-01,PRODUCTOR,83.0,0.016659266976425398,0.029878593224013,0.0,0.006584511673910156,MEDIA
MIQUETLA-51,0.177332,6.96195346093e-05,2018-07-01,562.0,2070.6,VERTICAL,1972-05-01,INACTIVO,29.0,0.05116815010101082,0.07415533953870448,0.0,0.0068358367182760425,MEDIA
MIQUETLA-52,0.15389,0.0196110421923,2020-02-01,580.0,2300.0,VERTICAL,1972-06-01,PRODUCTOR,30.0,0.09429726717139314,0.31469428079617673,0.0,0.008265087959706242,MEDIA
MIQUETLA-54,0.17063599999999998,0.0131420037588,2020-02-01,579.0,2080.3,VERTICAL,1972-07-01,PRODUCTOR,29.0,0.1271252552275831,0.2973007547182113,0.0,0.019844108150190484,MEDIA
MIQUETLA-55,0.15968,0.15968,1972-08-01,0.0,2100.0,VERTICAL,1972-08-01,INACTIVO,31.0,0.0047904,0.0,0.0,0.00301302,MEDIA
MIQUETLA-92,0.05234,0.012110200672,2020-02-01,577.0,1974.0,VERTICAL,1972-09-01,PRODUCTOR,22.0,0.1477069129585731,0.2674976907709589,0.0,0.01836521649381827,BAJA
MIQUETLA-56,0.12873099999999998,0.12873099999999998,1972-09-01,0.0,2096.0,VERTICAL,1972-09-01,INACTIVO,36.0,0.0038619299999999995,0.0,0.0,0.0022266000000000005,MEDIA
MIQUETLA-58,0.235868,0.000241671927296,2018-11-01,560.0,2099.3,VERTICAL,1972-11-01,INACTIVO,29.0,0.06973557962968001,0.1844098666116389,0.0,0.06249570104823288,ALTA
MIQUETLA-59,0.241041,0.241041,1972-12-01,0.0,500.0,VERTICAL,1972-12-01,TAPONADO,0.0,0.00723123,0.0,0.0,0.00723123,ALTA
MIQUETLA-95,0.097282,0.00975451145889,2020-02-01,573.0,1978.0,VERTICAL,1973-01-01,PRODUCTOR,23.0,0.1557526779604638,0.23120739512651522,0.0,0.006527995768680285,MEDIA
MIQUETLA-60,0.120318,0.0246417751951,2020-02-01,573.0,2112.5,VERTICAL,1973-01-01,PRODUCTOR,33.0,0.0716363692905438,0.04537582834667132,0.0,0.030600616672220582,MEDIA
MIQUETLA-107,0.135738,0.00861858885707,2020-02-01,573.0,2064.0,VERTICAL,1973-01-01,PRODUCTOR,36.0,0.2513987804170409,0.430808068380462,0.0,0.017921112160923115,MEDIA
MIQUETLA-61,0.115912,0.00622003686767,2020-02-01,572.0,2120.4,VERTICAL,1973-02-01,PRODUCTOR,28.0,0.022772090010198306,0.038844615481681506,0.0,0.009528067719725255,MEDIA
MIQUETLA-62,0.112202,0.00373014493791,2020-02-01,571.0,2098.0,VERTICAL,1973-03-01,INACTIVO,28.0,0.06362510034380432,0.102238661394345,0.0,0.008300385842439894,MEDIA
