pozo,Qi_hist,ultima_produccion,ultima_fecha,mes_max,profundidad_total,trayectoria,first_oil,estado_actual,dias_perforacion,Np,Gp,Cp,Wp,tipo
MIQUETLA-852,0.118363,0.00487655172414,2020-02-01,61.0,2123.0,DIRECCIONAL,2015-02-01,PRODUCTOR,13.0,0.031892141949372295,0.061171742147127006,0.0,0.0033110923282927813,MEDIA
MIQUETLA-502,0.08061499999999999,0.0176423827586,2020-02-01,61.0,2129.0,DIRECCIONAL,2015-02-01,PRODUCTOR,17.0,0.03836840617411171,0.072859660428663,0.0,0.003197586695393491,MEDIA
PALO BLANCO-8396,0.0243080064516,0.0145877689655,2020-02-01,50.0,1671.0,DIRECCIONAL,2016-01-01,PRODUCTOR,8.0,0.0220911170943753,0.0318759604466274,0.0,0.004011050273549249,BAJA
MIQUETLA-1606,0.29334983871,0.0505199655172,2020-02-01,51.0,2118.0,DIRECCIONAL,2015-12-01,PRODUCTOR,11.0,0.19755003542341718,0.22578929559374408,0.0,0.017724924513300693,ALTA
MIQUETLA-847,0.183410774194,0.0164269344828,2020-02-01,51.0,2172.0,DIRECCIONAL,2015-12-01,PRODUCTOR,12.0,0.10937959355408126,0.07273966097292033,0.0,0.09286360284565054,MEDIA
MIQUETLA-10,0.00258641459581,0.000192887702263,2018-07-01,30.0,2173.9,VERTICAL,2016-01-01,INACTIVO,0.0,0.0002501578668375479,0.0038489860822422855,0.0,1.9596015346379997e-06,BAJA
MIQUETLA-805,0.0467907586207,0.0108904551724,2020-02-01,50.0,2163.0,DIRECCIONAL,2016-01-01,PRODUCTOR,14.0,0.0257421541001121,0.05631169643668981,0.0,0.00288696702032004,BAJA
MIQUETLA-1616,0.107589806452,0.0461879310345,2020-02-01,48.0,1586.0,DIRECCIONAL,2016-03-01,PRODUCTOR,38.0,0.10236084333011398,0.3880429374812789,0.0,0.004490906492635829,MEDIA
MIQUETLA-1608,0.130004193548,0.0606982413793,2020-02-01,47.0,2101.0,DIRECCIONAL,2016-04-01,PRODUCTOR,11.0,0.09497604001368604,0.0647879810365269,0.0,0.0410655264575022,MEDIA
MIQUETLA-833,0.030093716129,0.00656213448276,2020-02-01,47.0,2095.0,DIRECCIONAL,2016-04-01,PRODUCTOR,8.0,0.010942447132084804,0.01981040718178869,0.0,0.0011304078010414558,BAJA
MIQUETLA-1044,0.026657577419400003,0.000161763903226,2016-10-01,5.0,2090.0,DIRECCIONAL,2016-05-01,INACTIVO,10.0,0.0008045802396787801,0.00020823123000003003,0.0,0.000201579348386961,BAJA
MIQUETLA-3275,0.094113,0.00125569733333,2018-11-01,30.0,2162.0,DIRECCIONAL,2016-05-01,INACTIVO,9.0,0.028827879276306596,0.02284791644280828,0.0,0.05634171375874469,MEDIA
MIQUETLA-849DES,0.140881709677,0.0340336793103,2020-02-01,23.0,2124.5,DIRECCIONAL,2018-03-01,PRODUCTOR,13.0,0.046775264913399,0.104181175470429,0.0,0.0033194386033977004,MEDIA
MIQUETLA-1604DES,0.220432548387,0.0552511724138,2020-02-01,22.0,2124.0,DIRECCIONAL,2018-04-01,PRODUCTOR,13.0,0.064647830600943,0.048443391154806587,0.0,0.06892389505036771,MEDIA
MIQUETLA-865DES,0.0989105666667,0.0290695387097,2019-01-01,7.0,2165.0,DIRECCIONAL,2018-06-01,INACTIVO,15.0,0.012019479551615999,0.010418641657425003,0.0,0.011933381709687899,MEDIA
MIQUETLA-827DES,0.0929294516129,0.0333920310345,2020-02-01,20.0,2142.0,DIRECCIONAL,2018-06-01,PRODUCTOR,14.0,0.030070295377119003,0.02002160400524099,0.0,0.023360127151517102,MEDIA
MIQUETLA-1636DES,0.0506611935484,0.0284668965517,2020-02-01,19.0,2112.0,DIRECCIONAL S,2018-07-01,PRODUCTOR,13.0,0.017100825819360004,0.021951077824788,0.0,0.0183251008681041,BAJA
MIQUETLA-1618DES,0.0475833548387,0.012035437931,2020-02-01,19.0,2098.0,DIRECCIONAL,2018-07-01,PRODUCTOR,17.0,0.012975922781246098,0.04761219731482501,0.0,0.0064894666864068005,BAJA
MIQUETLA-1614DES,0.0536394516129,0.00912792413793,2020-02-01,18.0,2077.0,DIRECCIONAL,2018-08-01,PRODUCTOR,13.0,0.010480249127824201,0.008287453708411769,0.0,0.0131579082416748,BAJA
