,Qi_hist,Qi_hyp,Qi_harm,Qi_exp,b,di_hyp,di_harm,di_exp,error_Qi_hyp,error_Qi_harm,error_Qi_exp,error_di_hyp,error_di_harm,error_di_exp,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica
tipo1,0.031243161336777004,0.02146503047822007,0.021648539341280984,0.02039745601902535,0.46351187561410256,0.8363891231900635,1.4063573737396162,2.7273736673022415,inf,inf,inf,inf,inf,inf,0.028592216979711083,0.5352087222715312,1.1963188727333491,4.9999999999999985e-45,0.5,0.007313372712824391,0.003143154421762721,0.003162250557463338,0.040825682118306984,0.025996158671834614,0.026070569799860104
tipo2,0.13479493294787445,0.10307476045416183,0.10417497829470272,0.10843661925768354,0.6711992440999298,0.8238581208496218,0.828535968597435,7.227462929095114,inf,inf,inf,inf,inf,inf,0.0715887736251591,0.4519874442212576,1.1758400692001234,4.999999999999999e-45,0.5,0.11300333205686033,0.04800273026483326,0.05003210076272118,1.020585870078602,0.7203926868697255,0.7280940042980092
tipo3,0.3168007946236667,0.2850421509536651,0.28394114077691474,0.2810075191421379,0.6895474416309486,0.4240575247224781,0.43191121134631,9.00119336206328,inf,inf,inf,inf,inf,inf,0.12514308697513676,0.46804427809858523,0.5046314436434896,4.9999999999999985e-45,0.5,0.30200965445169986,0.11176280412832428,0.12061603758704546,1.4263707567562505,0.716991028982022,0.7397745678260222
