pozo,fecha,cuenca,contrato,aceite_Mbd,gas_asociado_MMpcd,gas_no_asociado_MMpcd,agua_Mbd,condensado_Mbd,ano_de_perforacion,campo,clasificacion,disponible,entidad,estado_actual,profundidad_total,profundidad_vertical,tipo_de_hidrocarburo,trayectoria,ubicacion,tiempo_perforacion,dias_perforacion,first_oil,days_online,Qi_hist,mes,pct_cambio_Qo,exponencial,hiperbolica,harmonica,residual_exponencial,residual_hiperbolica,residual_harmonica,gas_exponencial,gas_hiperbolica,gas_harmonica,residual_gas_exponencial,residual_gas_hiperbolica,residual_gas_harmonica,condensado,Np_MMb,Gp_MMMpc,Cp_MMb,Wp_MMb
MIQUETLA-19,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.017332974712599997,0.130234624125,0.0,0.00236968170343,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2064.0,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,32.0,1969-08-01,18446,0.336809,615.0,0.02839230207929333,0.0,0.015715250708982272,0.015715245559803585,0.00030043201238763096,2.6170309518809615e-06,2.617047611807399e-06,0.0,0.05374019875702783,0.053739666268371136,0.016961057320980032,0.005851397112376264,0.005851478577487426,5.284420176508089e-52,0.4367053477654963,0.8975444147160487,0.0,0.018483456823272876
MIQUETLA-21,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0140444847442,0.046966115546900014,0.0,0.00017593901404099998,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2078.0,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,33.0,1969-10-01,18385,0.363997,613.0,0.16874852668569473,0.0,0.006109092587969066,0.006109092492596329,0.00019724755173006653,6.297044867317143e-05,6.297045018681159e-05,0.0,0.006623799506355477,0.015970983980278252,0.0022058160095647632,0.001627502463515177,0.0009606981808321928,5.3189474951799694e-52,0.12853576263123392,0.2039927781780708,0.0,0.006143613686590959
MIQUETLA-22,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00535340310984,0.052950283965,0.0,1.04139227202e-05,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2100.0,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,33.0,1969-11-01,18354,0.377598,612.0,0.15270868482794242,0.0,0.007263468548863977,0.007623416095905886,2.8658924856444578e-05,3.6483499813538605e-06,5.152958956907761e-06,0.0,0.015879412397224787,0.02131933788454452,0.0028037325719741358,0.0013742495187944843,0.0010005167499446816,5.336338189792417e-52,0.22183569662685093,0.4856604734048059,0.0,0.014675622988434302
MIQUETLA-23A,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0144587079707,0.034637197808199995,0.0,5.49702647791e-05,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2108.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,28.0,1970-01-01,18293,0.293592,610.0,0.14552570314657176,0.0,0.006791305131872294,0.008188000180555908,0.00020905423618198374,5.878906629286317e-05,3.9321776189373814e-05,0.0,0.025416824254458535,0.02541631949423984,0.0011997354720043746,8.50152884705349e-05,8.502459688086067e-05,5.371376429175555e-52,0.20596590969687284,0.37677282268252216,0.0,0.011217228154690057
MIQUETLA-24,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00931637209767,0.0145520730139,0.0,0.0021401496224600003,0.0,1960.0,MIQUETLA,EXPLORATORIO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2040.0,,ACEITE,VERTICAL,TERRESTRE,0.0,30.0,1970-02-01,18262,0.171622,609.0,-0.040575006113753864,0.0,0.004583850065183206,0.004583869100493203,8.679478906224413e-05,2.2396764787972942e-05,2.2396584618287368e-05,0.0,0.01963474569291936,0.01963474567750875,0.0002117628290018766,2.5833561562049836e-05,2.583356140539566e-05,5.389025099492181e-52,0.14270883525002362,0.20204153303494318,0.0,0.019179335948271984
MIQUETLA-25,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0003289949304140001,0.00170949462719,0.0,3.06240787964e-05,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,1995.0,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,31.0,1970-03-01,18234,0.168404,608.0,-0.9103774374944578,0.0,0.007976996060518613,0.007976995969490494,1.0823766423811279e-07,5.849192128608143e-05,5.849191989371512e-05,0.0,0.027005544006934033,0.027005543797605572,2.9223718803914773e-06,0.0006398901142224484,0.0006398901036320824,5.4067608949746424e-52,0.08074126690470917,0.1515011019941993,0.0,0.016939758773445526
MIQUETLA-26,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0502528542882,0.0247876720942,0.0,0.00937573361427,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2005.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,26.0,1970-04-01,18203,0.313861,607.0,0.05500310491780125,0.0,0.021389306043308617,0.021389306021429785,0.002525349364111061,0.0008331044172851723,0.0008331044185481738,0.0,0.05178741786766081,0.05340397973051695,0.0006144286878495813,0.0007289862718315148,0.0008188930627363319,5.424584390042372e-52,0.23987468838302997,0.4578387869477866,0.0,0.035661949099147064
MIQUETLA-27,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0154122969424,0.0182383582484,0.0,0.0401825759999,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2004.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,26.0,1970-05-01,18173,0.361156,606.0,0.05816978510684723,0.0,0.016369729913860223,0.016979980008541878,0.0002375388970407124,9.166778948391511e-07,2.4576301958679965e-06,0.0,0.02753383682072112,0.03135849852074506,0.0003326377115969804,8.640592188848104e-05,0.0001721380807660106,5.442496163856578e-52,0.20058991700257958,0.30884036644632684,0.0,0.279602308593055
MIQUETLA-28,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0606298903448,0.0247876720942,0.0,0.0273202596061,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2049.7,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,0.0,1970-06-01,18142,0.222449,605.0,-0.0390020482939224,0.0,0.02146371082368045,0.02146371018734982,0.0036759836032224723,0.001533989618280564,0.0015339896681258443,0.0,0.02760850455477177,0.03419733002069383,0.0006144286878495813,7.95709577061539e-06,8.854166229362812e-05,5.460496800367295e-52,0.21505017426315326,0.29603441040062656,0.0,0.19448126104397306
MIQUETLA-31,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0201029960118,0.05601781462,0.0,0.00406868787618,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2030.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,22.0,1970-09-01,18050,0.25222100000000003,602.0,0.030683006031441584,0.0,0.005079504579159027,0.00507950461741578,0.0004041304486504467,0.00022570529482663672,0.0002257052936771367,0.0,0.015593713758286679,0.01559305090185543,0.003137995554800686,0.001634107930477972,0.001634161521667818,5.5150377984145586e-52,0.12277187560918316,0.18733990790170957,0.0,0.012916464345321118
MIQUETLA-32,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0172107678517,0.07630869108850001,0.0,0.0066670300954,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2029.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,25.0,1970-10-01,18020,0.320983,601.0,0.058897129718555874,0.0,0.01203489301867165,0.012034892913986834,0.00029621053004511027,2.678968028717625e-05,2.6789681370847274e-05,0.0,0.05235508236867758,0.05235508184105002,0.005823016335640121,0.0005737753707023533,0.0005737753959795217,5.533399822665602e-52,0.11098952752039144,0.3109891861861589,0.0,0.015848320925207104
MIQUETLA-35,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00920573083375,0.0691989179296,0.0,0.00102438852844,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2000.0,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,38.0,1971-01-01,17928,0.292171,598.0,0.10307867994097486,0.0,0.011286743481088744,0.011286760960556839,8.474548018345547e-05,4.330613638383806e-06,4.330686388677687e-06,0.0,0.019954773524306295,0.026362665083046345,0.004788490242627517,0.00242498575820942,0.001834944557933877,5.5890394911470174e-52,0.4203736201075073,0.8102214512510791,0.0,0.027762752931302606
