,Qi_hist,Qi_hyp,Qi_harm,Qi_exp,b,di_hyp,di_harm,di_exp,error_Qi_hyp,error_Qi_harm,error_Qi_exp,error_di_hyp,error_di_harm,error_di_exp,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica
tipo1,0.006992924013331044,0.004913425164165612,0.0048710817510424645,0.00490589249229704,0.3035319262540384,1.2124605205394097,1.228654129588831,1.199941011646333,inf,inf,inf,inf,inf,inf,0.01574297448195715,0.38891554555422414,1.689589573425206,5e-45,0.5,2.3481659043471276e-05,2.3472696075739015e-05,2.5016220796250294e-05,0.00050082470020265,0.0005007986985845156,0.000506849029985771
tipo2,0.02674292215451875,0.016415450666514873,0.016096436415003818,0.016309439733261637,0.09112569877062394,0.11195512090342641,0.16309778812656917,0.10064525889694767,0.004647199975066641,0.004354313342325015,0.003690966427094806,227.55827242393,0.1316138753607643,0.05671585866093616,0.0753139115273017,0.20313247128168857,0.5481508896047492,5e-45,0.5,0.0011026056592785929,0.0010993189214078538,0.001147198970316643,0.08835515221823725,0.06305468161043694,0.0655695270026247
tipo3,0.11461730107536666,0.07723992012441948,0.07715701180847691,0.07725772165762511,3.656368974908976e-07,0.05414034357769735,0.07656812068158157,0.05416125741313164,0.013354393708546955,0.01284674446252141,0.010534908039628232,3.107135532599919,0.03957572997074517,0.016268773060549337,0.41071785681869705,0.33333333345893484,0.011036756824768417,5e-45,0.5,0.007696513276593764,0.007696517720999362,0.00815833082717416,0.37370916138851845,0.3737084921107697,0.3738843780772188
