pozo,Qi_hist,Qi_hyp,b,di_hyp,error_Qi_hyp,error_di_hyp,Qi_harm,di_harm,error_Qi_harm,error_di_harm,Qi_exp,di_exp,error_Qi_exp,error_di_exp,hidrocarburo_principal,ultima_produccion,mes_max,profundidad_total,trayectoria,first_oil,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,di_condensado,estado_actual,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica,Np,Gp,Cp,Wp,acum_BOE,RGA,corte_agua
MIQUETLA-26,0.313861,0.3099404065204883,0.9999999999999999,0.022224773794748243,0.01872927091513952,0.32342314403214006,0.3099404073077822,0.022224773879846383,0.0186869222225396,0.0017899219760473624,0.3137843737792969,5.0,0.033834359074633114,0.0,aceite_Mbd,2020-02-01,607.0,2005.0,VERTICAL,1970-04-01,0.07127999451133354,2.5162124868988387e-09,0.0004409191055268909,5e-45,0.5,10.0,PRODUCTOR,0.2964938381837229,0.09050333784848073,0.09050333784848062,1.8346624552749669,0.9375943367389057,0.9381010991030563,0.23987468838302997,0.4578387869477866,0.0,0.035661949099147064,0.31618115287432774,2496.504860345839,0.16363630870084914
MIQUETLA-27,0.361156,0.36115599834514756,0.8787518055536023,0.026592900097163166,0.01194453936030466,0.18729642319943804,0.36114426741291905,0.033446910227832735,0.011929344490734545,0.0016238354351961388,0.3610678271484375,5.0,0.02593106747164194,0.0,aceite_Mbd,2020-02-01,606.0,2004.0,VERTICAL,1970-05-01,0.03204099999894793,9.68414240909432e-07,7.900326422050077e-15,5e-45,0.5,10.0,PRODUCTOR,0.18760525260105826,0.03966294773029206,0.03971089633580191,0.7756123365155352,0.40439053687586834,0.40439053691123517,0.20058991700257958,0.30884036644632684,0.0,0.279602308593055,0.25206331141030053,2067.1713808098434,1.7346045386892919
MIQUETLA-28,0.222449,0.22085554130608695,0.9999999999999999,0.015354906531276045,0.015815878912059374,0.30847565392187126,0.22085558032503194,0.015354910040508141,0.015763029927752203,0.0014141119709145987,0.2223946911621094,5.0,0.03286782519150769,0.0,aceite_Mbd,2020-02-01,605.0,2049.7,VERTICAL,1970-06-01,0.06185799999893084,1.4557354322389748e-06,0.0009929601725989464,5e-45,0.5,10.0,PRODUCTOR,0.2592705438766817,0.05978569195792309,0.059785691957892434,0.8214565698863188,0.3965140949605819,0.40075853994649185,0.21505017426315326,0.29603441040062656,0.0,0.19448126104397306,0.26438924266325753,1917.208046542548,0.9490370008871589
MIQUETLA-29,0.25747600000000004,0.24987739901714115,0.9999999999999994,0.06497906455957879,0.01659820061673272,0.12026282129346834,0.2498788067498088,0.06497969182407635,0.016521211457918423,0.006001874348501403,0.25741313964843754,5.0,0.02555462289704053,0.0,aceite_Mbd,2018-07-01,584.0,2020.0,VERTICAL,1970-07-01,0.1940602157311881,0.8133416215448617,0.012631019208041269,5e-45,0.5,10.0,INACTIVO,0.2063602454455436,0.0868413593655322,0.08684135936070386,2.9154422254477046,2.108607028691306,2.1104161931090384,0.19111691791961768,0.4250489873193121,0.0,0.021097179280667303,0.2619584158061696,2369.412685434879,0.7888505570000427
MIQUETLA-30,0.268838,0.26356824238940035,0.9999999999999999,0.04866468675742112,0.012715489228202426,0.07908437851073537,0.26356780799767954,0.048664569109510704,0.012585559754239806,0.0030640216228288732,0.2687723657226563,5.0,0.03230226044225109,0.0,aceite_Mbd,2018-03-01,579.0,2028.0,VERTICAL,1970-08-01,0.13210491595799567,2.6567056349664166e-13,0.00523894665476265,5e-45,0.5,10.0,INACTIVO,0.324508605230175,0.050207022809702184,0.050207022810157174,1.2954290807868052,0.4648578441965735,0.5016889630099167,0.2598834302422996,0.4220581569054866,0.0,0.013486336237596567,0.3302264563932141,1614.285062469092,0.18228416570427386
MIQUETLA-31,0.25222100000000003,0.25073878906938246,0.9999999999999999,0.0803369491702259,0.011056410239124173,0.11115774601484396,0.2507387851867342,0.08033694727439337,0.011023964911804246,0.005322818587079528,0.2521594226074219,5.0,0.02070724115255259,0.0,aceite_Mbd,2020-02-01,602.0,2030.0,VERTICAL,1970-09-01,0.018397999999938505,5.68212459639561e-07,8.789973706688967e-15,5e-45,0.5,10.0,PRODUCTOR,0.10419593018444209,0.029588779373535105,0.0295887793735376,0.3480361612876171,0.20118668339789464,0.20118668340633647,0.12277187560918316,0.18733990790170957,0.0,0.012916464345321118,0.1539951935928016,2192.7197865570724,0.19955811480653918
MIQUETLA-32,0.320983,0.32045994262882177,0.9999999999999999,0.04264154553116138,0.010127303337119005,0.2884106386164559,0.3204599460277015,0.04264154638489898,0.010101189015440482,0.0024348531136549746,0.3209046350097656,5.0,0.019252655017456367,0.0,aceite_Mbd,2020-02-01,601.0,2029.0,VERTICAL,1970-10-01,0.05235508184978055,0.7503873996572397,4.622467618462861e-19,5e-45,0.5,10.0,PRODUCTOR,0.07265028614335281,0.01999964965986705,0.019999649659866968,0.9468406689199607,0.4041118498456354,0.4041118498456355,0.11098952752039144,0.3109891861861589,0.0,0.015848320925207104,0.16282105855141796,3132.8282500717187,0.14424484171269109
MIQUETLA-33,0.27738,0.27737999999999996,2.225669968136722e-12,0.01223798274716241,0.008760588848941842,1.954032469713083e-05,0.2773799999998479,0.040199609986391265,0.020758693718101205,0.004026037997723683,0.2773122802734375,5.0,0.03858422269150419,0.0,aceite_Mbd,2015-12-01,549.0,2066.5,VERTICAL,1970-11-01,0.1683709989903502,2.638031927209043e-09,0.00577950765100464,5e-45,0.5,10.0,INACTIVO,0.3260345507149614,0.06709379390846658,0.09488221383374018,1.164255251270879,0.3996958984491805,0.4673980830173175,0.18925250999999998,0.32849465999999994,0.0,0.005960759999999998,0.2440016199999999,2018.53588812366,0.0454435584838639
MIQUETLA-34,0.26782399999999995,0.2677586051756353,0.9999999999999999,0.4507419844574286,inf,inf,0.2677586131011969,0.4507419978635268,0.00034227348082044475,0.060548769715366185,0.26775861328124995,5.0,0.0025881710575209075,0.0,aceite_Mbd,1998-04-01,333.0,2032.0,VERTICAL,1970-12-01,0.003038660619010672,0.9999999999996427,1.0595636041598689e-11,5e-45,0.5,10.0,INACTIVO,6.698629422988892e-06,1.171521721838522e-07,1.1715113567320474e-07,7.15398334572754e-05,4.383501072672699e-05,4.3835010968563564e-05,0.008143859999999998,0.00027347999999999994,0.0,0.0017396700000000002,0.008189439999999997,1844.8438926168337,0.09961381813433486
MIQUETLA-35,0.292171,0.2862314166433963,0.9999999999999999,0.040735726982122446,0.015358745377910968,0.058864395990858215,0.2862302675667975,0.040735491062653284,0.014639391362903816,0.0028277084086249338,0.2920996691894532,5.0,0.042232561864467416,0.0,aceite_Mbd,2020-02-01,598.0,2000.0,VERTICAL,1971-01-01,0.19878699999999996,0.5818062335795748,0.007602017635604155,5e-45,0.5,10.0,PRODUCTOR,0.738405962597332,0.09950093939310767,0.09950093939506613,3.660190011495909,1.324058693200226,1.3388693358620205,0.4203736201075073,0.8102214512510791,0.0,0.027762752931302606,0.5554105286493537,2237.06740648104,0.08817836026392863
MIQUETLA-36,0.266418,0.25415184456603795,0.9999999999983178,0.03918504070035568,0.02008779412156665,0.1275773046562353,0.2541473259000958,0.039184023135643474,0.019940411873064553,0.003989087861036591,0.26635295654296876,5.0,0.03202437167293861,0.0,aceite_Mbd,2020-02-01,597.0,2001.0,VERTICAL,1971-02-01,0.0131229999822631,9.537006619209087e-06,1.6206434343544327e-13,5e-45,0.5,10.0,INACTIVO,0.39381518632186086,0.15473920331762242,0.15473920330003843,1.3371452383250357,0.9954358479410528,0.995435847557594,0.2827344589823911,0.46656670266165273,0.0,0.02033078326380356,0.36049557609266675,2280.792779671318,0.10462858059220638
MIQUETLA-37,0.266809,0.25801750488478253,1.1856975845053185e-08,0.011752416891590471,0.02294407466407211,0.07724666815525086,0.2668089999999968,0.02858077889892944,0.034572731472801786,0.005197378486196617,0.2667438610839844,5.0,0.06787494710321322,0.0,aceite_Mbd,1999-08-01,346.0,2030.0,VERTICAL,1971-03-01,0.253695997459188,5.120563179097189e-09,0.00575355533901422,5e-45,0.5,10.0,INACTIVO,1.0135418577380784,0.23128088246712014,0.29355280561651115,5.4368968960720165,2.330022812983881,2.546088846807588,0.3204242400000002,0.6730037099999997,0.0,0.004132200000000002,0.43259152500000014,1973.451229314751,0.022005182920377907
MIQUETLA-38,0.290589,0.29058899999999993,1.4076285578951915e-07,0.01352775140900703,0.02438119183605981,0.11775289424677074,0.29058899999999993,0.043610275379314244,0.027199964320843536,0.005663134534915374,0.2905180554199219,5.0,0.045928545793085744,0.0,aceite_Mbd,1999-03-01,340.0,2020.0,VERTICAL,1971-04-01,0.2027392844341575,2.7194723428901178e-09,0.007524390337733582,5e-45,0.5,10.0,INACTIVO,0.31008640384413344,0.08774741729190971,0.10910383453570673,1.0224708504700635,0.4291361492716636,0.4846049657501799,0.1538194199999999,0.24484572000000004,0.0,0.00347505,0.19462704000000008,2150.904655908168,0.011374917443180099
