pozo,Qi_hist,ultima_produccion,ultima_fecha,mes_max,profundidad_total,trayectoria,first_oil,estado_actual,dias_perforacion,Np,Gp,Cp,Wp
LACAMANGO-119,0.050562,0.002998,1997-11-01,220.0,2090.0,VERTICAL,1979-10-01,TAPONADO,26.0,0.0016068,0.0012273,0.0,0.0
LACAMANGO-300,0.076526,0.00173,1994-02-01,125.0,2644.0,VERTICAL,1983-11-01,PROGRAMA TAPONAMIENTO,60.0,0.08841737999999995,0.12753353999999997,0.0,0.09343812
LACAMANGO-1,0.245295,0.032699,2009-10-01,131.0,3319.0,VERTICAL,1999-01-01,CERRADO SIN POSIBILIDADES,95.0,0.38164590000000015,0.5009076900000001,0.0,0.22762389000000008
LACAMANGO-2,0.176446,0.0210411107143,2019-02-01,240.0,2100.0,VERTICAL,1999-06-01,CERRADO SIN POSIBILIDADES,25.0,0.743090188945514,0.43942146768410084,0.0,0.2808096573102539
LACAMANGO-431,0.316444,0.0125351310345,2020-02-01,143.0,1840.0,DIRECCIONAL,2008-05-01,PRODUCTOR,16.0,0.36250348493103374,0.1771137510923241,0.0,0.38487825987096536
LACAMANGO-452,0.023111000000000003,0.003774,2009-11-01,16.0,1950.0,DIRECCIONAL,2008-07-01,PROGRAMA TAPONAMIENTO,15.0,0.00653055,0.00916542,0.0,0.04725566999999999
LACAMANGO-311,0.336426774194,0.025070262069,2020-02-01,129.0,1770.0,DIRECCIONAL,2009-07-01,PRODUCTOR,23.0,0.7489388969713527,0.5349150451786071,0.0,0.1746542400186534
LACAMANGO-354,0.205214,0.0266854451613,2016-08-01,84.0,1824.0,DIRECCIONAL,2009-09-01,CERRADO SIN POSIBILIDADES,18.0,0.3031819443926642,0.22210895298887695,0.0,0.06204581462257652
LACAMANGO-315,0.11253699999999997,0.100028,2011-12-01,26.0,1794.0,DIRECCIONAL,2009-10-01,PROGRAMA TAPONAMIENTO,,0.07666163999999996,0.06426555000000002,0.0,0.00012783
LACAMANGO-371,0.24465,0.0640156206897,2020-02-01,122.0,1727.0,DIRECCIONAL,2010-02-01,PRODUCTOR,29.0,0.4623803752582769,0.2780841731726698,0.0,0.21106333369918498
LACAMANGO-355,0.212595,0.035710000000000006,2015-07-01,64.0,1825.0,DIRECCIONAL,2010-04-01,PROGRAMA TAPONAMIENTO,21.0,0.11014932000000005,0.3193040100000001,0.0,0.07128597
LACAMANGO-393,0.376079032258,0.025070262069,2020-02-01,105.0,1760.0,DIRECCIONAL,2011-07-01,PRODUCTOR,12.0,0.555549178761564,0.37855235657024383,0.0,0.10064305866411838
LACAMANGO-390,0.26452,0.160039034483,2020-02-01,104.0,1742.0,DIRECCIONAL,2011-08-01,PRODUCTOR,13.0,0.5979568907548529,0.28486780920562815,0.0,0.08486449738423262
LACAMANGO-391,0.296011,0.0188026965517,2020-02-01,104.0,1802.0,DIRECCIONAL,2011-08-01,PRODUCTOR,10.0,0.3670655059965747,0.5427528645915756,0.0,0.0875273659745547
LACAMANGO-392,0.150955,0.0229810733333,2019-06-01,93.0,1810.0,DIRECCIONAL,2011-10-01,CERRADO SIN POSIBILIDADES,23.0,0.03893991219999901,0.015993533000001,0.0,0.02932155
