,campo,Qi_hist,Qi_hyp,b,di_hyp,error_Qi_hyp,error_di_hyp,mes_max
0,ACTIVOS EXPLORACION,1.04942580645,0.8519698147770354,6.11439661514929e-11,0.007093523572057077,0.02276354141980511,0.00038836812421275314,27
0,AGAVE,0.391591,0.34949737668692826,1.4321707895232638e-08,0.11540250472077317,0.06198430656081117,0.41139938707631674,20
0,ARROYO PRIETO,0.248143,0.12933807897175098,0.9999999999999999,1.3772670891881179e-15,0.011619037782601465,0.0,122
0,ARROYO ZANAPA,1.830332,0.6591261618211234,1.043579679063397e-07,0.004632144663156855,0.0528226212293191,0.9095246021171938,134
0,AYAPA,1.200934,0.9875466163944501,0.559410475631437,0.019890467992057813,0.03028942596414014,0.061516777775690076,495
0,BACAL,2.5106110000000004,2.462482607967068,4.018514947811715e-11,0.021813641697564144,0.03389367231864164,0.00013847778425304144,479
0,BELLOTA,7.403311,7.33062810946676,0.8570515007940993,0.025487706052561666,0.10802075122783829,0.030041050605425133,455
0,BLASILLO,0.6902550000000001,0.2309828555735181,0.9999999999672469,0.0014886559438172984,0.00924755220479345,0.9065760356521171,621
0,BRICOL,7.660774000000001,7.146300383735511,0.035729418637977545,0.025487391208662974,0.2506202042793198,0.09747045469575494,132
0,BRILLANTE,0.8281485,0.8281484999997335,0.10405125167469148,0.03154968494654537,0.038912444647300724,0.13895077068498632,103
0,CACTUS,5.9521196,3.6394149679095618,2.8729666961757253e-08,0.006339461015677086,0.15253554953527043,0.09377903092315767,563
0,CAFETO,0.32564950000000004,0.16371446087041444,0.9999999999999999,0.04333948828366888,0.03879071908956449,0.9807799727027114,94
0,CALICANTO,0.264381,0.24586002709933394,1.5677948841646427e-05,0.1074691974616648,0.10219133011668664,2.5544238902727527,13
0,CAPARROSO,5.126347,3.9998808282327185,2.610909968538991e-10,0.009220167343541247,0.12212969069458636,0.0013374182993957148,287
0,CARDENAS,10.1449139,6.972653289651146,0.8162795355501354,0.019078863791140106,0.18797827508208056,0.06263379126970818,460
0,CASTARRICAL,0.902613,0.8256661085324855,0.9999999999187185,0.03256393549164879,0.021284469898475777,0.05560329394768208,348
0,CATEDRAL,1.13094,0.848489469077571,6.620363846799324e-10,0.015409758192086927,0.022329861938810903,0.002809807237621589,246
0,CERRO NANCHITAL,0.16919023333323333,0.16081765820726696,2.1574922335047534e-10,0.01945507517539199,0.01554165797058212,0.006617444826025029,28
0,CHINCHORRO,10.127984,9.005066222699762,1.580457628516084e-13,0.007311003073587716,0.12647550895472418,5.143522429178863e-07,345
0,CHIPILIN,4.937992,4.759979417579852,0.999999999999983,0.012791826576984517,0.1735285845750347,0.1357589820552505,384
0,CINCO PRESIDENTES,0.4838433200000001,0.3408843376562949,0.9999999999999999,0.004368868629758655,0.012903388038754161,0.21881536016278358,678
0,CONCEPCION,0.458404,0.15246376019178493,2.5445534413510113e-07,0.0022736286406709427,0.007659891953718456,0.7961881019583088,334
0,CRATER,2.198116,2.059522889408362,4.081120972063276e-09,0.010427623492083812,0.07347968319269566,0.02062742599958555,130
0,CUICHAPA PONIENTE,0.11341319590575419,0.05826012423074322,0.9999999999999999,2.4953713541325003e-14,0.002122359094163805,0.0,254
0,CUNDUACAN,2.1602372142857145,2.160237214193348,9.4179441712964e-10,0.00651559289142278,0.03964992279041595,0.002661605389349581,290
0,CUPACHE,1.310916,1.0625169892867055,0.8268132031181732,0.05895916224329957,0.11257888209505766,0.268507126739828,119
0,EDEN,7.4231440000000015,6.626719040760472,0.9999999999999959,0.0332532417123347,0.2858431323980557,0.08353162583004868,426
0,EL BURRO,0.021920142857142857,0.021920142857142853,0.009899314641785966,0.055273627118698536,0.0023774310078431707,0.6141184025002875,29
0,EL GOLPE,0.3919722307692307,0.3199836457659302,0.9999999999999976,0.007348654829875683,0.00848013792808497,0.10104984748159367,654
0,EL PLAN,0.042659125,0.024427622591913525,9.083632240678872e-08,0.0004319812510340564,0.0013737557385724386,0.4438696411490758,95
0,ESCARBADO,4.849436,2.894615303785599,0.9999999999999999,0.006834973726195939,0.20058571584371976,0.6071537646869708,287
0,ESCUINTLE,5.019425,3.5069348814757717,0.9999999999748503,0.015438727173218154,0.4646343941765494,0.4762964861969353,332
0,EXPLORACION BELLOTA-JUJO,6.6801735,6.679415431159394,8.029772050741884e-08,0.007324276190026875,0.20203607216561095,0.2198886350838238,53
0,EXPLORACION CINCO PRESIDENTES,1.512988,1.0747469241427852,7.926851690203278e-08,0.013209918747640968,0.1433497035068111,0.9607968744768356,42
0,EXPLORACION SAMARIA-LUNA,4.547525,4.547524999968256,1.8859163519975866e-07,0.02166789888748374,0.4164991320458488,1.420987412729029,26
0,EXPLORACION SUR,5.792906,4.491263662830023,2.975049582392992e-08,0.0016056054491197932,0.1939431806065035,0.1259946840351213,78
0,FILISOLA,0.0238335,0.023274369264968224,8.559500618880657e-08,0.012876731200289348,0.0032844628775879742,1.0303847266665256,18
0,FORTUNA NACIONAL,0.0630476,0.06304759999999998,1.9460133354189894e-11,0.15489446650394148,inf,inf,2
0,GAUCHO,0.6018640000000001,0.4703981427820221,8.093598975247759e-10,0.007414887349992797,0.012301623213353593,0.003158878165602148,190
0,GUARICHO,1.704536,1.3870178177053547,8.863159096742927e-11,0.006074432468922284,0.03506535464304164,0.00045990856976461394,195
0,GUBICHA,0.488515,0.41423500477790437,4.9769344766746834e-08,0.02981348744698727,0.1056593936309615,1.2537021385948364,19
0,IRIDE,6.28452475,5.156132914080299,0.9559954940232626,0.011560189022631884,0.17790005031462378,0.11630259951818486,473
