,Qi_hist,Qi_hyp,Qi_harm,Qi_exp,b,di_hyp,di_harm,di_exp,error_Qi_hyp,error_Qi_harm,error_Qi_exp,error_di_hyp,error_di_harm,error_di_exp,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica
tipo1,0.022838887091887004,0.01838166276887549,0.018538153868783328,0.018272482970119238,0.4801922137059456,0.8266576700090131,1.3935828441534555,1.4199412760510937,inf,inf,inf,inf,inf,inf,0.025122057279397748,0.6637918802118814,0.6076815541630113,4.9999999999999985e-45,0.5,0.02283986323658432,0.014553878845829388,0.014571463577075481,0.14173061195713652,0.12713904103596413,0.1271481391430855
tipo2,0.12225579163035223,0.0999218622901202,0.10084297470434231,0.10643150885701487,0.6599595603158052,0.7153113678744071,0.7208413041598513,3.2464493713300087,inf,inf,inf,inf,inf,inf,0.059594619522282885,0.3839872494954371,0.4528318665810028,4.999999999999999e-45,0.5,0.11939573500946524,0.05786101007828132,0.059972736113064154,1.0111819110050333,0.8176676811653558,0.8237265523294411
tipo3,0.2982505118279667,0.29069356732909224,0.29002821226161785,0.2868306018540643,0.7062141105741994,0.7587343493476572,0.7665114625236406,4.833932696112539,inf,inf,inf,inf,inf,inf,0.09402428831211619,0.44766063531645744,0.336591449324643,4.9999999999999985e-45,0.5,0.26767224297475384,0.07565796405463107,0.08304306987381381,1.3268558554727705,0.679693575089815,0.7003990338154061
