,campo,Qi_hist,Qi_hyp,b,di_hyp,error_Qi_hyp,error_di_hyp,mes_max
0,AGUA FRIA,0.08663699999999999,0.08663699999698181,1.6219844289832897e-12,0.003393974637389027,0.0019929803398931315,8.788506679250722e-06,386
0,AGUA NACIDA,0.022723249999999997,0.01920937509665363,0.9999999999994784,4.447376050928095e-10,0.0011762395075830836,3538070.8879961562,83
0,AMATITLAN,0.0583345483871,0.04215660336083868,3.895900053620733e-08,0.07717029119479937,0.00758667046993524,0.5496050494506519,22
0,ARAGON,0.09556433333333332,0.02069597704166063,0.9891847928385414,3.3439037918131485e-15,0.001116948316418265,0.0,530
0,BARCODON,0.030425411764705878,0.027873410584052447,0.9999999999998382,0.003935971285005477,0.000900720652563473,0.4796281597467062,321
0,COAPECHACA,0.118948,0.0692105728075809,0.9999999999999999,0.003946365615073491,0.00805319332386633,3.225878638296304,202
0,CORRALILLO,0.18268283333333335,0.11075115365525855,2.806381179658215e-15,0.007822230240136832,0.0027197805440749585,1.5949598554723543e-08,198
0,COYOL,0.0176,0.017599999997881862,3.431227429916728e-08,0.0023388744560543513,0.0024168298290267805,0.47596469069355407,122
0,COYOTES,0.10658866666666666,0.026945413716373285,0.9999999999999999,0.002470100457487016,0.0017772910310271057,0.9786303347596357,513
0,COYULA,0.03187325,0.021739804454687876,8.671318344231119e-08,0.005485317191956276,0.0007335779953006938,0.2814489973643501,129
0,ESCOBAL,0.0373192,0.03731919882046372,1.2589017245775841e-08,0.004479567991171847,0.0027350940492614256,0.11187305445339478,138
0,ESCOLIN,0.5523230625,0.46860318477287916,0.9999999998353835,0.012733127795859453,0.038231517400964754,0.19326865048954006,777
0,FURBERO,0.136598,0.11080173941867541,0.7628583921485367,0.0656390433672278,0.007180563320367047,0.13560702088474022,142
0,GRAN MORELOS,0.090115,0.08681404030090539,2.0137343763778215e-09,0.017873889508833066,0.014174105976094106,0.044403289703823436,54
0,HORCONES,0.017821,0.017820999999999997,0.9928757186274124,2.350102049888805e-15,0.009353514975344287,0.0,82
0,HUMAPA,0.023943384615384613,0.02394338460790765,1.4599527083068842e-11,0.006582558197060969,0.0008512779499898004,0.00012505831802719949,129
0,LA LAJA,0.01258,0.007733013350311011,0.9999999999942354,0.0014080404441620072,0.0008073358527237173,23.37902707769936,158
0,MECATEPEC,1.860911666666667,1.8609116666666667,0.9999999999999999,0.4722057022305077,0.21581586078764955,0.07330980598714794,608
0,MIAHUAPAN,0.07278951933340001,0.07236305067189498,1.0262571431664487e-07,0.0028561953861994615,0.015928743653662442,1.6263231655392336,21
0,MIGUEL HIDALGO,0.089456,0.08945599999982748,4.45925768912698e-09,0.03800789242907218,0.014832549662295195,0.10714869560519524,43
0,NARANJOS,0.12079000000000001,0.09684932266330498,0.633116936033264,0.08223161324970807,0.012121460955618928,0.3645879773007482,57
0,PALO BLANCO,0.028112,0.009448549435816375,0.0005875659079164208,1.8005194335231153e-11,0.002084692645171334,22313.430731354205,52
0,PASO DE ORO,0.078589,0.055836313586039216,0.004582989861524346,7.219612117206644e-18,0.011084926147853747,0.0,51
0,PASTORIA,0.020963,0.011454421498103752,0.9999999999999458,0.004689728922857776,0.002152308380854379,23.704320913766725,65
0,POZA RICA,0.46985800000000005,0.3301311667274884,0.2180709670328256,0.0035035353597622078,0.005709489283813923,0.08111366211977418,650
0,PRESIDENTE ALEMAN,0.04170614285714286,0.04063926720669155,0.999999963964174,0.04151371687524622,0.003671612312576897,0.3883160207362785,94
0,PRESIDENTE ALEMAN_ATG,0.318939,0.31893899999999986,0.9999999999999999,0.44604973619838395,0.055136027233865466,0.1412114128759096,122
0,REMOLINO_ATG,0.1032585,0.07699872431469942,8.498832319377533e-09,0.010049352375099675,0.005408390611002112,0.07840674383886571,116
0,RIACHUELO,0.2924995,0.2612217581457406,0.9999999999999934,0.1363193270343975,0.02612252076684747,0.168427429032521,110
0,SUR CHINAMPA NORTE DE AMATLAN,0.09931166666666667,0.08649742124964223,0.5298453249384939,0.17757648957971064,0.019715783668215008,0.3742508609626695,59
0,TAJIN,0.04555599999999999,0.04225900456430305,8.31922517855561e-12,0.0006087082953449281,0.000829149758033829,4.092084324893318e-05,483
0,TAMAULIPAS,0.22580714285714285,0.1893925502076922,5.2260844975362555e-15,0.02343912339814049,0.006871860971457872,4.360179415317915e-08,58
0,TECOLUTLA,0.03095566666666667,0.030955666666365123,3.4747549034865404e-08,0.10430298841271302,inf,inf,3
