pozo,Qi_hist,ultima_produccion,ultima_fecha,mes_max,profundidad_total,trayectoria,first_oil,estado_actual,dias_perforacion,Np,Gp,Cp,Wp,acum_BOE,RGA,corte_agua,tipo
TAJIN-633,0.000579868090974,0.000579868090974,2019-10-01,0.0,2005.0,DIRECCIONAL,2019-10-01,PRODUCTOR,46.0,1.739604272922e-05,1.829894416839e-05,0.0,7.12838454156e-06,2.0445866757285003e-05,1051.9026915042812,0.40977046633637587,BAJA
TAJIN-348,0.0152667293412,0.00932596509349,2020-02-01,23.0,2075.0,DIRECCIONAL,2018-03-01,PRODUCTOR,58.0,0.0095401754212629,0.026827218210280196,0.0,0.0037241082410259005,0.014011378456309603,3167.172631870628,0.3904041587341884,MEDIA
TAJIN-361,0.000171858455031,0.000171858455031,2020-02-01,1.0,1952.0,VERTICAL,2020-01-01,INACTIVO,32.0,9.978878034059998e-06,1.9718689865640003e-05,0.0,1.0011125537609999e-05,1.3265326345e-05,1976.042777388011,1.0032315760790373,BAJA
TAJIN-362,0.032037704644499995,0.000168421234045,2020-02-01,23.0,1980.0,DIRECCIONAL,2018-03-01,INACTIVO,53.0,0.00645460909377324,0.023464898584598038,0.0,0.000867334064432523,0.010365425524539578,3251.421593338914,0.212811834763952,MEDIA
TAJIN-363,0.0263583694753,0.000171858455031,2020-02-01,11.0,2010.0,DIRECCIONAL,2019-03-01,PRODUCTOR,48.0,0.0024984305876340294,0.007995847198413902,0.0,0.0006904146674792701,0.00383107178736968,2712.909135001211,0.1285085763147597,MEDIA
TAJIN-344,0.0156783418004,0.0143141925412,2020-02-01,23.0,2085.0,VERTICAL,2018-03-01,PRODUCTOR,39.0,0.009268834592105996,0.04335278622090301,0.0,0.0023470498852659004,0.0164942989622565,5214.205987126549,0.2530107874027019,MEDIA
TAJIN-691,0.024117921421,0.00026580778557900003,2019-09-01,18.0,2000.0,VERTICAL,2018-03-01,INACTIVO,58.0,0.00325693709928117,0.009871609642922012,0.0,0.0020866558537256997,0.004902205373101506,3076.899855047862,0.6481631735921743,MEDIA
TAJIN-692,0.0290118752188,0.0193512592693,2020-02-01,15.0,2070.0,DIRECCIONAL,2018-11-01,PRODUCTOR,52.0,0.008758058798432998,0.012458172447407998,0.0,0.0,0.010834420873000997,1419.2905789966856,0.0,MEDIA
TAJIN-382,0.000171858455031,0.000171858455031,2020-02-01,1.0,2020.0,DIRECCIONAL,2020-01-01,INACTIVO,60.0,9.978878034059998e-06,2.9578034728800002e-05,0.0,1.0011125537609999e-05,1.4908550488859997e-05,2964.0641591012313,1.0032315760790373,BAJA
TAJIN-383,0.027123749936900005,0.0136541492582,2020-02-01,15.0,2025.0,DIRECCIONAL,2018-11-01,PRODUCTOR,164.0,0.008968092515361003,0.009626112581023201,0.0,0.0024609909449970005,0.010572444612198199,1148.168369108746,0.2805846047517439,MEDIA
TAJIN-386,0.000643083251085,0.000160770812771,2020-01-01,5.0,2059.78,VERTICAL,2019-08-01,INACTIVO,36.0,2.411562191568e-05,0.00014296050132389998,0.0,0.0,4.7942372136329994e-05,7410.160404729739,0.0,BAJA
TAJIN-679,0.00024694401533700003,0.00024694401533700003,2019-10-01,0.0,1960.0,DIRECCIONAL,2019-10-01,PRODUCTOR,125.0,7.408320460110001e-06,9.530698755420003e-08,0.0,3.09677288517e-07,7.4242049580357e-06,12.864857570265645,0.041801281435441824,BAJA
TAJIN-388,0.000157555347977,0.000157555347977,2020-01-01,0.0,2179.83,DIRECCIONAL,2020-01-01,INACTIVO,60.0,4.726660439310001e-06,4.126793140019999e-05,0.0,2.032258727613e-06,1.160464900601e-05,8730.885564994023,0.4299565737177579,BAJA
TAJIN-654,0.0248991450764,0.0133362133432,2020-02-01,23.0,2056.0,DIRECCIONAL,2018-03-01,PRODUCTOR,55.0,0.0111538148245065,0.015716362505370902,0.0,0.0012831517150182002,0.013773208575401649,1367.4595914341312,0.10693617949088313,MEDIA
TAJIN-658,0.015549725049100004,0.00426364099201,2019-12-01,21.0,1973.0,DIRECCIONAL,2018-03-01,PRODUCTOR,71.0,0.006129248581386897,0.03766132265030999,0.0,0.0033107671057239,0.0124061356897719,5993.075863977956,0.5401580766199634,MEDIA
TAJIN-636,0.024401148070400003,0.0173508267057,2020-02-01,11.0,2040.0,VERTICAL,2019-03-01,PRODUCTOR,79.0,0.006505745632290601,0.014617959135326998,0.0,0.0016315670453811001,0.008942072154845099,2281.0607471802964,0.2507874178072011,MEDIA
TAJIN-637,0.0201166299163,0.000572344036837,2019-12-01,12.0,1945.0,VERTICAL,2018-12-01,INACTIVO,87.0,0.0024342952226787296,0.018029716445514,0.0,0.0006248029576170301,0.0054392479635977315,6131.16174675792,0.26796403957484793,MEDIA
TAJIN-639,0.0113102045733,0.004707202473649999,2020-02-01,23.0,2060.0,DIRECCIONAL,2018-03-01,PRODUCTOR,56.0,0.00400633669349334,0.013125392143408203,0.0,0.004918751635880819,0.00619390205072804,3027.374593679408,1.2376932842062118,BAJA
TAJIN-677,0.000257233340883,0.000257233340883,2019-10-01,0.0,1984.0,VERTICAL,2019-10-01,PRODUCTOR,37.0,7.717000226489999e-06,9.53070010173e-06,0.0,0.0,9.305450243444998e-06,1235.0265416624127,0.0,BAJA
TAJIN-336,0.0159698970275,0.0103873354365,2020-02-01,8.0,1889.0,VERTICAL,2019-06-01,PRODUCTOR,41.0,0.0030827628384264,0.018879052925037002,0.0,0.0,0.0062292716592659,6398.08347641255,0.0,MEDIA
TAJIN-316,0.0127117914776,0.0075854765593300014,2018-06-01,3.0,1900.0,VERTICAL,2018-03-01,INACTIVO,26.0,0.00121568841849,0.010331709682593001,0.0,0.000821577041043,0.0029376400322555,9045.523664869423,0.678158380629875,BAJA
TAJIN-303,0.000182742865647,0.000182742865647,2019-09-01,0.0,1985.0,DIRECCIONAL,2019-09-01,INACTIVO,43.0,5.48228596941e-06,6.25372770978e-05,0.0,7.49995752e-07,1.5905165485710002e-05,11407.153411322362,0.13680347143232188,BAJA
TAJIN-325,0.000412460032646,0.000412460032646,2020-02-01,5.0,2030.0,DIRECCIONAL,2019-09-01,INACTIVO,51.0,3.092674423851e-05,0.00019665022136849998,0.0,0.0,6.370178113326e-05,6257.47187861483,0.0,BAJA
TAJIN-327,0.00122989657613,0.0007493025007350001,2020-02-01,3.0,2470.71,VERTICAL,2019-11-01,INACTIVO,41.0,0.00010632104194988999,0.0004864874655051,0.0,2.408125419492e-05,0.00018740228620074,4596.0826356046655,0.21239808750210334,BAJA
TAJIN-329,0.0304016877594,0.00017529567601800002,2020-02-01,23.0,2050.0,DIRECCIONAL,2018-03-01,PRODUCTOR,42.0,0.0074452851031474206,0.018344970894099547,0.0,0.003192840105331053,0.01050278025216401,2469.725426599497,0.4991836828301961,MEDIA
