,Qi_hist,Qi_hyp,Qi_harm,Qi_exp,b,di_hyp,di_harm,di_exp,error_Qi_hyp,error_Qi_harm,error_Qi_exp,error_di_hyp,error_di_harm,error_di_exp,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica
tipo1,0.005143857142857143,0.004424819196566401,0.004416863059124182,0.004597942872816522,0.7154397067699853,0.035576424228628084,0.03632921729935701,0.06624951694504133,0.000998534974749808,0.0009101787310272366,0.001028733931747978,4099519.1372150667,0.02600074723272885,0.051784639223949616,0.013183860255792157,0.7144029260564874,0.008721147785348028,5e-45,0.5,0.0010954733624794412,0.0010942275488129173,0.0010952205391765476,0.002619589406432038,0.0026195193962265293,0.002637540430642454
tipo2,0.02898428144879,0.022108870981235526,0.021888517905003835,0.021027581352444112,0.2502837855724379,0.04315426603225852,0.045661593257662565,0.27370886758824103,0.003932682359052358,0.0038151373599510582,0.004379758301357023,2791233.6879988266,0.028734655564787704,0.011660438052097764,0.02233716549849191,0.47235362240940243,0.14430411022595832,4.999999999999999e-45,0.5,0.028189598090405537,0.02761983142662709,0.027782818138909832,0.0800413423666456,0.07899605825335257,0.07922693897195188
tipo3,0.14954599999999998,0.10056290033387458,0.10409269598027371,0.11203942287436319,0.24061183214119478,0.02820562249923103,0.034991984490016136,0.033650563485213565,0.011869769452603056,0.01300093416702988,0.013197404320028291,0.2811449923614665,0.012252771426219595,0.008784497314448579,0.11534972736459481,0.385081129946685,0.029003029365279688,5e-45,0.5,0.3251531238868567,0.28359350787094867,0.29404978943154686,1.4070216590449232,1.3689070207252994,1.3709151744735235
